,HCHO_reading,Location,Current_Date
401,0.00017131145958956622,Colombo Proper,2020-04-04
402,0.00017131145958956622,Colombo Proper,2020-04-05
403,0.00021277451010511797,Colombo Proper,2020-04-06
404,9.38554371256366e-05,Colombo Proper,2020-04-07
405,0.00013653609216760103,Colombo Proper,2020-04-08
406,0.00014923111101977578,Colombo Proper,2020-04-09
407,0.00010581246702077356,Colombo Proper,2020-04-10
408,0.00017408897853229404,Colombo Proper,2020-04-11
409,0.00016010750352543407,Colombo Proper,2020-04-12
410,0.0001807971777470224,Colombo Proper,2020-04-13
411,0.00022269607221989425,Colombo Proper,2020-04-14
412,4.693396476795897e-05,Colombo Proper,2020-04-15
413,0.00019896343468485552,Colombo Proper,2020-04-16
414,0.0001839281614660109,Colombo Proper,2020-04-17
415,0.00021453794530686005,Colombo Proper,2020-04-18
416,0.00019141468643124845,Colombo Proper,2020-04-19
417,0.00020317579391260104,Colombo Proper,2020-04-20
418,0.00020317579391260104,Colombo Proper,2020-04-21
419,0.00020317579391260104,Colombo Proper,2020-04-22
420,0.00016009817113738146,Colombo Proper,2020-04-23
421,0.00016009817113738146,Colombo Proper,2020-04-24
422,0.0001406910458095868,Colombo Proper,2020-04-25
423,0.00013594279799546968,Colombo Proper,2020-04-26
424,0.00013544343171042802,Colombo Proper,2020-04-27
425,7.410965218508509e-05,Colombo Proper,2020-04-28
426,0.00010461171125128785,Colombo Proper,2020-04-29
427,0.0001838830943896734,Colombo Proper,2020-04-30
428,0.00016563200827055224,Colombo Proper,2020-05-01
429,0.00023791708481264885,Colombo Proper,2020-05-02
430,0.0001532576961496553,Colombo Proper,2020-05-03
431,0.00023076801647530136,Colombo Proper,2020-05-04
432,0.00023076801647530136,Colombo Proper,2020-05-05
433,0.00023076801647530136,Colombo Proper,2020-05-06
434,0.00023076801647530136,Colombo Proper,2020-05-07
435,0.00012896975795815318,Colombo Proper,2020-05-08
436,0.00011235204655122309,Colombo Proper,2020-05-09
437,0.00011235204655122309,Colombo Proper,2020-05-10
438,0.00011235204655122309,Colombo Proper,2020-05-11
439,0.00023127830089533877,Colombo Proper,2020-05-12
440,0.00016318259173762225,Colombo Proper,2020-05-13
441,0.00015030014931253027,Colombo Proper,2020-05-14
442,0.00015030014931253027,Colombo Proper,2020-05-15
443,0.00015030014931253027,Colombo Proper,2020-05-16
444,0.00015030014931253027,Colombo Proper,2020-05-17
445,0.0001189361982722547,Colombo Proper,2020-05-20
446,0.0001189361982722547,Colombo Proper,2020-05-21
447,2.677951647760532e-05,Colombo Proper,2020-05-22
448,2.677951647760532e-05,Colombo Proper,2020-05-23
449,0.00015992027465511766,Colombo Proper,2020-05-24
450,0.00012299704560214664,Colombo Proper,2020-05-25
451,8.88699439362386e-05,Colombo Proper,2020-05-26
452,8.88699439362386e-05,Colombo Proper,2020-05-27
453,0.00010825617791964679,Colombo Proper,2020-05-28
454,6.240960160428663e-05,Colombo Proper,2020-05-29
455,3.846044830897755e-05,Colombo Proper,2020-05-30
456,-2.987381835365395e-06,Colombo Proper,2020-05-31
457,0.00012114194412203875,Colombo Proper,2020-06-01
458,0.00013343143068490253,Colombo Proper,2020-06-02
459,4.184015518299238e-05,Colombo Proper,2020-06-03
460,6.386906709541972e-05,Colombo Proper,2020-06-04
461,6.390508387308208e-05,Colombo Proper,2020-06-05
462,6.390508387308208e-05,Colombo Proper,2020-06-06
463,6.390508387308208e-05,Colombo Proper,2020-06-07
464,6.390508387308208e-05,Colombo Proper,2020-06-08
465,9.759900266702663e-05,Colombo Proper,2020-06-09
